DATE,Bajaj Signal,Eicher Signal,Hero Signal,TVS Signal,Infosys Signal,TCS Signal
9/29/2015,Sell,Sell,Sell,Sell,Sell,Sell
9/30/2015,Sell,Sell,Sell,Sell,Sell,Sell
10/1/2015,Sell,Sell,Sell,Sell,HOLD,Sell
10/5/2015,Sell,Sell,Sell,Sell,Buy,Sell
10/6/2015,Sell,Sell,Sell,HOLD,Buy,Sell
10/7/2015,Sell,Sell,Sell,HOLD,Buy,Sell
10/8/2015,Sell,Sell,Sell,Buy,Buy,Sell
10/9/2015,Sell,Sell,Sell,Buy,Buy,HOLD
10/12/2015,Sell,Sell,Sell,Buy,Buy,HOLD
10/13/2015,Sell,Sell,Sell,Buy,Buy,HOLD
10/14/2015,Sell,Sell,Sell,Buy,Buy,Sell
10/15/2015,Sell,Sell,Sell,Buy,Buy,Sell
10/16/2015,Sell,Sell,Sell,Buy,Buy,Sell
10/19/2015,Buy,Sell,Sell,Buy,Buy,Sell
10/20/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/21/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/23/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/26/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/27/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/28/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/29/2015,Buy,Sell,Buy,Buy,Buy,Sell
10/30/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/2/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/3/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/4/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/5/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/6/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/9/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/10/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/11/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/13/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/16/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/17/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/18/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/19/2015,Buy,Sell,Buy,Buy,Buy,Sell
11/20/2015,Buy,Sell,Buy,Buy,Sell,Sell
11/23/2015,Buy,Sell,Buy,Buy,Sell,Sell
11/24/2015,Buy,Sell,Buy,Buy,Sell,Sell
11/26/2015,Buy,Sell,Buy,Buy,Sell,Sell
11/27/2015,Buy,Sell,Buy,Buy,Sell,Sell
11/30/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/1/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/2/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/3/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/4/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/7/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/8/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/10/2015,HOLD,Sell,Buy,Buy,Sell,Sell
12/11/2015,Sell,Sell,Buy,Buy,Sell,Sell
12/14/2015,Sell,Sell,Buy,Buy,Sell,Sell
12/15/2015,Sell,Sell,Buy,Buy,Sell,Sell
12/16/2015,Sell,Sell,Buy,Buy,Sell,Sell
12/17/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/18/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/21/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/22/2015,HOLD,Sell,Buy,Buy,Sell,Sell
12/23/2015,HOLD,Sell,Buy,Buy,Sell,Sell
12/24/2015,HOLD,Sell,Buy,Buy,Sell,Sell
12/28/2015,HOLD,Sell,Buy,Buy,Sell,Sell
12/29/2015,HOLD,Sell,Buy,Buy,Sell,Sell
12/30/2015,Buy,Sell,Buy,Buy,Sell,Sell
12/31/2015,Buy,Sell,Buy,Buy,Sell,Sell
1/1/2016,Buy,Sell,Buy,HOLD,Sell,Sell
1/4/2016,Buy,Sell,Buy,HOLD,Sell,Sell
1/5/2016,Buy,Sell,Buy,HOLD,Sell,Sell
1/6/2016,Buy,Sell,Buy,HOLD,Sell,Sell
1/7/2016,Buy,Sell,Buy,HOLD,Sell,Sell
1/8/2016,Buy,Sell,Buy,Sell,HOLD,Sell
1/11/2016,Buy,Buy,Buy,HOLD,Buy,Sell
1/12/2016,Buy,Buy,Buy,HOLD,Buy,Sell
1/13/2016,Buy,Buy,Buy,HOLD,Buy,Sell
1/14/2016,Buy,Buy,HOLD,Sell,Buy,Sell
1/15/2016,Buy,Buy,Sell,Sell,Buy,Sell
1/18/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/19/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/20/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/21/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/22/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/25/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/27/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/28/2016,Sell,Buy,Sell,Sell,Buy,Sell
1/29/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/1/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/2/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/3/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/4/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/5/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/8/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/9/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/10/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/11/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/12/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/15/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/16/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/17/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/18/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/19/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/22/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/23/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/24/2016,Sell,Buy,Sell,HOLD,Buy,Sell
2/25/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/26/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/29/2016,Sell,Buy,Sell,Sell,Buy,Sell
3/1/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/2/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/3/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/4/2016,Sell,Buy,Buy,Sell,HOLD,Sell
3/8/2016,Sell,Buy,Buy,Sell,HOLD,Sell
3/9/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/10/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/11/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/14/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/15/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/16/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/17/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/18/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/21/2016,Sell,Buy,Buy,HOLD,Buy,HOLD
3/22/2016,Sell,Buy,Buy,HOLD,Buy,Buy
3/23/2016,Sell,Buy,Buy,HOLD,Buy,Buy
3/28/2016,Sell,Buy,Buy,Buy,Buy,Buy
3/29/2016,Sell,Buy,Buy,Buy,Buy,Buy
3/30/2016,Sell,Buy,Buy,Buy,Buy,Buy
3/31/2016,Sell,Buy,Buy,Buy,Buy,Buy
4/1/2016,Sell,Buy,Buy,Buy,Buy,Buy
4/4/2016,HOLD,Buy,Buy,Buy,Buy,Buy
4/5/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/6/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/7/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/8/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/11/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/12/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/13/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/18/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/20/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/21/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/22/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/25/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/26/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/27/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/28/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/29/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/2/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/3/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/4/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/5/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/6/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/9/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/10/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/11/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/12/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/13/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/16/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/17/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/18/2016,Buy,Buy,Buy,HOLD,Buy,Buy
5/19/2016,Buy,Buy,Buy,HOLD,Buy,Buy
5/20/2016,Buy,Buy,Buy,Sell,Buy,Buy
5/23/2016,Buy,Buy,HOLD,Sell,Buy,Buy
5/24/2016,Buy,Buy,Sell,Sell,Buy,Buy
5/25/2016,Buy,Buy,Sell,Sell,Buy,Buy
5/26/2016,Buy,Sell,Sell,Sell,Buy,Buy
